stock_code,volatility_std,mean_x,abs_mean_x,min_x,max_x,range,count
1605,2.4516567798308047,0.03559605163249809,1.7469134396355352,-14.25,16.37,30.62,5268
5333,2.445777694678335,0.049684889901290816,1.695725132877752,-22.54,16.58,39.12,5268
4183,2.42543503188186,0.032078587699316624,1.7413154897494305,-15.79,19.23,35.019999999999996,5268
7270,2.418931505441901,0.058088458618071374,1.6739009111617313,-18.12,21.22,39.34,5268
3086,2.413081742297964,0.04341875474563402,1.7325455580865603,-18.13,15.91,34.04,5268
6301,2.4095174210052943,0.07026765375854215,1.724922171602126,-14.63,17.59,32.22,5268
5411,2.401554916140389,0.028722475322703115,1.6102107061503417,-15.13,18.87,34.0,5268
6954,2.4012823479178995,0.04847000759301444,1.6818071374335613,-16.03,17.42,33.45,5268
6702,2.392021792954752,0.011305998481397099,1.6981131359149582,-17.93,18.1,36.03,5268
6326,2.389194043957919,0.06836180713743358,1.6921013667425968,-14.51,18.65,33.16,5268
6503,2.3822510473213034,0.04928625664388761,1.7050797266514808,-14.81,17.72,32.53,5268
7272,2.3776858232408635,0.053069476082004546,1.632063401670463,-18.07,21.4,39.47,5268
6701,2.3667563543628694,0.003077069096431285,1.6424734244495063,-17.41,19.62,37.03,5268
8801,2.3622774693428616,0.05268033409263477,1.686951404707669,-15.02,19.05,34.07,5268
6988,2.359977171772424,0.05558656036446469,1.635187927107062,-19.15,15.92,35.07,5268
7832,2.3585710416866057,0.035913059984813984,1.3686845102505696,-76.54,19.27,95.81,5268
7453,2.3508085566068666,0.06766514806378131,1.6092558845861809,-19.03,13.92,32.95,5268
6952,2.3442909459975274,0.05100227790432803,1.6380106302201973,-19.08,17.99,37.06999999999999,5268
6758,2.342954458182338,0.0227942293090357,1.651089597570235,-15.53,16.77,32.3,5268
4005,2.3376086979421355,0.03385345482156417,1.6853151100987092,-16.21,16.62,32.83,5268
8803,2.319820411373571,0.052501898253606676,1.6374449506454065,-14.57,14.55,29.12,5268
8795,2.3150086277711797,0.021287015945330303,1.4568299164768412,-15.34,16.5,31.84,5268
6367,2.3145183510801663,0.08359529233105543,1.6399468488990125,-16.1,18.6,34.7,5268
1801,2.304054588768786,0.059846241457858766,1.6148462414578588,-15.31,19.89,35.2,5268
7951,2.289310966094974,0.07319476082004557,1.6121127562642366,-15.65,17.78,33.43,5268
7762,2.2892406122434563,0.01812262718299164,1.6400208807896735,-13.66,16.58,30.24,5268
1812,2.2855528746429963,0.05020311313591496,1.6197817008352315,-15.11,22.17,37.28,5268
5901,2.2847286125136073,0.024451404707668944,1.5901461655277145,-22.43,16.7,39.129999999999995,5268
9613,2.280621725593864,0.005172741078208043,1.5853739559605162,-17.43,15.62,33.05,5268
4631,2.2746493219338197,0.029846241457858764,1.5744665907365225,-16.88,15.94,32.82,5268
4061,2.266632396333522,0.05520121488230827,1.5983561123766135,-15.45,24.03,39.480000000000004,5268
7313,2.259340556587741,0.0404916476841306,1.257750569476082,-16.13,16.37,32.5,5268
5101,2.254189692713452,0.06009111617312072,1.5936560364464694,-14.47,19.59,34.06,5268
6645,2.247679028194399,0.055163249810174654,1.5680334092634776,-13.25,19.66,32.91,5268
7201,2.2443976410668687,0.04109339407744875,1.534867122247532,-12.21,17.24,29.45,5268
8001,2.24385741136491,0.0689844343204252,1.55875284738041,-17.54,14.85,32.39,5268
9433,2.241417455509672,0.03791002277904328,1.5327733485193622,-19.29,13.79,33.08,5268
8015,2.2356744111128646,0.0814540622627183,1.5859984813971149,-17.47,16.63,34.099999999999994,5268
4021,2.235454863767585,0.08062452543659833,1.5902107061503417,-14.71,19.01,33.72,5268
8802,2.231785831780576,0.03756833712984054,1.5969646924829157,-12.86,18.27,31.13,5268
6971,2.2096545263815353,0.016573652239939247,1.5332365223993927,-14.58,17.67,32.25,5268
7012,2.2044912202083338,0.035692862566438874,1.3620216400911163,-14.89,18.82,33.71,5268
1802,2.2038263396466817,0.04297835990888383,1.5754878511769168,-13.41,13.96,27.37,5268
7269,2.1929680401313654,0.0494457099468489,1.5402733485193623,-13.97,14.33,28.3,5268
4689,2.191028193949863,0.031970387243735764,1.3644722854973423,-14.44,17.95,32.39,5268
5802,2.185934010578249,0.03336370539104025,1.5570007593014428,-13.33,14.26,27.59,5268
9301,2.17367613802952,0.04381548974943053,1.5500265755504936,-15.2,13.93,29.13,5268
4506,2.1728496172495033,0.04814350797266515,1.4635421412300682,-20.58,18.3,38.879999999999995,5268
8411,2.1704563473068887,0.03804859529233105,1.2721222475322702,-14.81,18.45,33.26,5268
2531,2.170164808190615,0.0205751708428246,1.4596108580106304,-17.76,29.53,47.290000000000006,5268
5201,2.162915584245478,0.030609339407744865,1.5388477600607442,-14.76,13.46,28.22,5268
3101,2.157898170911412,0.03277524677296887,1.463925588458618,-14.19,34.25,48.44,5268
7267,2.152398249264399,0.03884586180713743,1.5057099468488988,-13.44,18.16,31.6,5268
6501,2.1482948802109676,0.014956340167046321,1.5350322703113137,-17.01,13.78,30.79,5268
7011,2.1442972364271493,0.02875474563401671,1.5103264996203491,-14.14,19.94,34.08,5268
2501,2.1440459309983138,0.0321753986332574,1.4484700075930141,-20.47,18.43,38.9,5268
1925,2.1403641818613712,0.0584946848899013,1.4951651480637813,-14.17,15.06,29.23,5268
3099,2.1384643543584603,0.012065299924069855,1.4966514806378133,-14.94,14.19,29.13,5268
8058,2.137111810265887,0.05420463173880031,1.4904612756264237,-15.17,17.91,33.08,5268
1332,2.132430659030144,0.04920083523158693,1.4631947608200455,-16.44,18.57,35.010000000000005,5268
4324,2.12927729670917,0.032319665907365236,1.4076765375854212,-15.1,16.9,32.0,5268
4063,2.127553754689724,0.05430903568716781,1.523280182232346,-11.39,14.51,25.9,5268
8053,2.1274627056373605,0.039460895975702355,1.5056074411541382,-12.09,14.06,26.15,5268
6752,2.1217958432754846,0.011093394077448747,1.4860820045558087,-19.46,18.94,38.400000000000006,5268
5108,2.1161687813283034,0.03773728170083523,1.4650987091875476,-15.71,16.26,31.970000000000002,5268
8031,2.1140707417538707,0.051687547456340174,1.4772646165527714,-16.98,19.23,36.21,5268
4523,2.1130114038995313,0.05821184510250569,1.3678549734244496,-23.64,20.7,44.34,5268
3401,2.1094320275029372,0.030229688686408504,1.496068716780562,-11.45,17.99,29.439999999999998,5268
5332,2.108145695471728,0.059515945330296124,1.4649449506454062,-15.92,18.08,34.0,5268
6902,2.0998236318532246,0.04734813971146546,1.4769229309035687,-14.96,16.95,31.91,5268
5020,2.0966965303591385,0.021558466211085793,1.460768792710706,-15.96,17.25,33.21,5268
8233,2.0860006720890736,0.017883447228549728,1.5053663629460896,-15.94,14.22,30.16,5268
4507,2.0798098572571124,0.05601936218678816,1.466843204252088,-14.92,13.66,28.58,5268
4543,2.0702354733832444,0.05895785876993167,1.4427353834472285,-19.37,14.93,34.3,5268
3407,2.0288207537990033,0.042317767653758546,1.4558295368261203,-13.62,15.09,28.71,5268
7751,2.0250205099615637,0.025634016704631727,1.3875018982536067,-13.46,16.13,29.59,5268
8267,2.0208845450128448,0.05752657555049355,1.421319286256644,-10.53,13.07,23.6,5268
4901,2.019926817916886,0.033399772209567205,1.4099525436598332,-12.69,15.43,28.119999999999997,5268
4151,2.0161376393000605,0.05258731966590737,1.3724012908124525,-17.12,19.42,36.540000000000006,5268
7741,1.9974360930300112,0.06374715261958999,1.3889331814730448,-15.38,18.89,34.27,5268
3861,1.9953581662295374,0.028194760820045562,1.4265622627182992,-13.64,18.44,32.08,5268
4568,1.9785870441971207,0.06803910402429765,1.363149202733485,-16.38,13.96,30.34,5268
